,mass,year,reclat,reclong,log(mass)
290,10200.0,1996,43.18111,13.75333,4.008600171761918
291,17600.0,1894,47.81667,-96.85,4.2455126678141495
292,3640.0,1922,30.83333,-97.76667,3.561101383649056
293,152000.0,1890,43.25,-93.66667,5.181843587944773
294,26000.0,1942,-33.35,146.85833,4.414973347970818
295,6067.0,1924,36.78333,-78.08333,3.782973994944048
296,240.0,1900,50.95,7.31667,2.380211241711606
297,16300.0,1829,33.01667,-83.96667,4.212187604403958
298,650.0,1868,34.48333,-87.83333,2.8129133566428557
299,23000.0,1945,31.47556,113.56694,4.361727836017593
300,11620.0,1882,33.18333,130.2,4.065206128054312
301,4000.0,1822,25.95,80.81667,3.6020599913279625
302,2500.0,1977,32.9,115.9,3.3979400086720375
303,132.7,1826,44.3,0.4,2.1228709228644354
304,36.1,1952,7.05,12.43333,1.557507201905658
305,28.0,1952,7.05,12.43333,1.4471580313422192
306,5000.0,1995,51.68333,30.78333,3.6989700043360187
307,6400.0,1897,27.35,68.53333,3.806179973983887
308,380.0,1917,27.88333,68.53333,2.57978359661681
309,102.0,1950,41.68333,-112.13333,2.0086001717619175
310,4162.0,1984,12.85,11.03333,3.6193020758756083
311,725.0,1950,12.91667,11.91667,2.8603380065709936
312,14290.0,1909,35.53333,136.88333,4.1550322287909704
313,18000.0,1853,37.31667,13.56667,4.2552725051033065
314,480.0,1947,9.6,9.91667,2.681241237375587
315,670.0,1990,52.2,6.86667,2.8260748027008264
316,1303.0,1939,-7.25,107.7,3.1149444157125847
317,152000.0,1918,57.35,37.61667,5.181843587944773
318,767.0,1991,52.45972,-0.3,2.884795363948981
319,1750.0,1879,50.66667,16.76667,3.2430380486862944
320,1600.0,1865,24.23333,89.05,3.2041199826559246
321,3618.0,1974,48.28333,38.08333,3.558468562523795
322,9000.0,1964,42.9,2.25,3.9542425094393248
323,45.5,1976,60.66667,11.0,1.6580113966571124
324,215.0,2009,43.2,-79.61667,2.3324384599156054
325,3500.0,1861,43.66667,45.38333,3.5440680443502757
326,10500.0,1837,49.26667,18.71667,4.021189299069938
327,8000.0,1881,46.35,30.58333,3.9030899869919438
328,1000.0,1841,51.93333,15.5,3.0
329,690.0,1910,52.86667,16.63333,2.838849090737255
330,22000.0,1932,-33.0,-58.61667,4.342422680822207
331,2910.0,1996,39.80417,122.76389,3.4638929889859074
332,1900.0,1980,37.1,118.4,3.278753600952829
333,39000.0,1892,38.73333,-6.01667,4.5910646070264995
334,1915.0,1891,43.76667,20.23333,3.2821687783046416
335,288.0,1972,13.5,-0.68333,2.459392487759231
336,968.0,1949,9.91667,13.98333,2.9858753573083936
337,2449.0,1982,22.98333,76.05,3.388988785124714
338,100000.0,1984,11.49167,11.65833,5.0
339,5700.0,1904,42.9,24.7,3.7558748556724915
340,28.0,1814,13.78333,78.56667,1.4471580313422192
341,34650.0,1981,9.36667,42.41667,4.539703238947825
342,1000.0,1851,51.91667,8.38333,3.0
343,1320.0,1930,35.0,127.5,3.12057393120585
344,0.2,1817,35.65,139.33333,-0.6989700043360187
345,9000.0,1934,50.31667,3.73333,3.9542425094393248
346,1456.0,1944,57.81667,16.23333,3.1631613749770184
347,3710.0,1959,41.38333,-86.6,3.569373909615046
348,1000.0,1878,26.8,82.53333,3.0
349,315.0,1921,28.38333,75.78333,2.4983105537896004
350,8360.0,1961,32.675,-94.51167,3.9222062774390163
351,680.0,1859,38.25,-86.16667,2.832508912706236
352,1110.6,1910,35.2945,136.70033,3.0455576691365476
353,1250.0,1890,28.95,0.81667,3.0969100130080562
354,29000.0,1628,51.65,-1.51667,4.4623979978989565
355,1544.0,1971,60.24556,22.06194,3.188647295999717
356,3500.0,1922,55.46667,13.78333,3.5440680443502757
357,6100.0,1910,27.33333,35.66667,3.785329835010767
358,1000.0,1857,10.0,-84.1,3.0
359,20000.0,1869,59.85,17.66667,4.301029995663981
360,750.0,1897,33.6,130.43333,2.8750612633917
